,drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
297,8,30,10,7.829085000000001,-9.376389999999999,GN
298,999995,999995,999995,7.831931667,-9.38288,GN
299,3,60,10,7.834118332999999,-8.589148332999999,GN
300,3,20,8,7.836289999999999,-8.586011667000001,GN
301,3,10,10,7.846966667,-8.56226,GN
302,8,90,10,7.847031667,-8.869193333,GN
303,3,20,3,7.848668332999999,-9.107811667,GN
304,3,60,3,7.848678333,-9.106343333,GN
305,3,30,3,7.849686667,-9.108836667,GN
306,3,20,3,7.8499616670000005,-9.108333333,GN
307,3,20,3,7.850476667000001,-9.107478333,GN
308,3,20,3,7.8509850000000005,-9.108106667000001,GN
309,7,50,10,7.853143332999999,-8.168606667,GN
310,8,40,10,7.853243332999999,-8.168803333,GN
311,8,20,10,7.8547583329999995,-9.397258333,GN
312,3,30,10,7.8550633329999995,-9.398723333,GN
313,8,25,10,7.858225,-9.283096667,GN
314,5,15,10,7.865626667000001,-9.337443333,GN
315,999995,999995,999995,7.872546667000001,-9.381078333,GN
316,999995,999995,999995,7.872641667000001,-9.381425,GN
317,7,60,10,7.910044999999999,-9.326839999999999,GN
318,11,60,10,7.921723332999999,-9.384333332999999,GN
319,3,120,10,7.936606667,-9.347430000000001,GN
320,3,60,3,7.953218333,-9.370523333,GN
321,3,50,10,7.9976966670000005,-9.356421667000001,GN
322,3,30,3,8.012886667,-9.298341667,GN
323,5,120,10,8.013718333,-9.36888,GN
324,3,6,10,8.01788,-9.35357,GN
325,3,10,10,8.018091667,-9.353401667,GN
326,3,30,3,8.024806667,-9.356023333,GN
327,3,120,10,8.02934,-9.380858332999999,GN
328,3,60,3,8.031216667,-9.363496667,GN
329,3,60,3,8.050289999999999,-9.308013333,GN
330,3,30,3,8.094425,-9.404443333,GN
331,3,40,3,8.126843333,-9.375453333,GN
332,3,15,10,8.219408332999999,-9.467318333,GN
333,3,12,10,8.286886667000001,-9.458615,GN
334,3,10,6,8.308488333,-10.69020167,SL
335,8,20,10,8.317655,-10.53986167,SL
336,1,60,10,8.319265,-10.53842,SL
337,7,35,10,8.322416667,-10.56106167,SL
338,7,20,10,8.329861667000001,-10.56724167,SL
339,11,10,10,8.33704,-10.58202667,SL
340,5,30,10,8.337258333,-10.54312,SL
341,3,45,6,8.33858,-10.54398,SL
342,3,45,6,8.338591667000001,-10.54355333,SL
343,8,60,97,8.339161667,-10.54380333,SL
