drink_wat,water_time,toilet,hh_gps_latitude,hh_gps_longitude,Country
3,15,10,8.219408333,-9.467318333,GN
3,12,10,8.286886667,-9.458615,GN
3,10,6,8.308488333,-10.69020167,SL
8,20,10,8.317655,-10.53986167,SL
1,60,10,8.319265,-10.53842,SL
7,35,10,8.322416667,-10.56106167,SL
7,20,10,8.329861667,-10.56724167,SL
11,10,10,8.33704,-10.58202667,SL
5,30,10,8.337258333,-10.54312,SL
3,45,6,8.33858,-10.54398,SL
3,45,6,8.338591667,-10.54355333,SL
8,60,97,8.339161667,-10.54380333,SL
4,10,3,8.339586667,-10.57527333,SL
5,35,97,8.339866667,-10.52807667,SL
5,30,6,8.339921667,-10.52809,SL
3,30,3,8.340088333,-10.52778,SL
8,60,6,8.344263333,-10.55659833,SL
8,45,10,8.344938333,-10.53872167,SL
11,60,10,8.34843,-10.58072667,SL
1,35,10,8.348611667,-10.580665,SL
11,30,10,8.350236667,-10.50109667,SL
8,15,6,8.35064,-10.50110167,SL
3,32,3,8.353406667,-10.51918167,SL
8,30,6,8.353443333,-10.51917,SL
8,40,6,8.3536,-10.539985,SL
3,2,6,8.353741667,-10.53900333,SL
3,180,6,8.354028333,-10.55947333,SL
3,5,10,8.355068333,-10.59189167,SL
3,20,10,8.355388333,-10.58642833,SL
999995,999995,999995,8.357185,-10.52645,SL
999995,999995,999995,8.358676667,-10.608885,SL
8,15,6,8.35924,-10.62198,SL
3,30,3,8.360563333,-10.57617667,SL
3,10,6,8.362191667,-10.57488,SL
1,30,10,8.362303333,-10.55928333,SL
8,25,6,8.36268,-10.494595,SL
11,60,3,8.362706667,-10.52301667,SL
3,30,3,8.363496667,-10.536155,SL
3,15,6,8.364518333,-10.54661167,SL
3,15,6,8.36647,-10.645195,SL
8,20,10,8.366738333,-10.648005,SL
3,10,6,8.367833333,-10.64652167,SL
8,20,10,8.37065,-10.57044667,SL
7,5,10,8.373843333,-9.500748333,GN
7,2,10,8.374095,-9.4928,GN
7,25,6,8.374333333,-10.51696667,SL
7,4,6,8.374478333,-9.49013,GN
8,30,6,8.376321667,-10.4803,SL
3,8,3,8.37678,-10.52854667,SL
8,20,10,8.377256667,-9.461491667,GN
11,120,10,8.377568333,-10.50561833,SL
11,15,10,8.37778,-10.50089667,SL
7,26,6,8.377785,-10.50578833,SL
4,26,3,8.378313333,-10.50111667,SL
8,2,10,8.378713333,-9.509275,GN
3,12,3,8.378973333,-10.60241167,SL
11,10,10,8.379303333,-9.520036667,GN
3,10,6,8.379861667,-10.62539,SL
11,2,10,8.379876667,-9.490531667,GN
11,3,10,8.380258333,-9.494863333,GN
7,15,10,8.380543333,-10.57343833,SL
7,15,6,8.381578333,-9.432196667,GN
7,90,6,8.382103333,-10.55412,SL
7,8,10,8.38249,-9.461715,GN
8,25,10,8.38332,-9.46301,GN
8,7,10,8.384608333,-9.509281667,GN
8,15,10,8.384618333,-9.506195,GN
8,10,6,8.384638333,-10.58488,SL
3,30,10,8.384938333,-9.55062,GN
3,8,10,8.38525,-9.549833333,GN
11,20,3,8.386306667,-10.52115667,SL
7,40,10,8.38649,-9.497641667,GN
5,5,6,8.387043333,-10.57018333,SL
8,60,6,8.392111667,-10.478385,SL
8,60,8,8.392261667,-10.48331333,SL
3,7,6,8.392668333,-9.341983333,GN
11,15,10,8.394436667,-9.501308333,GN
8,15,10,8.396161667,-10.62309167,SL
3,15,3,8.396283333,-10.51411,SL
3,90,10,8.396798333,-10.54584333,SL
8,12,6,8.397025,-10.46602333,SL
8,25,6,8.397026667,-10.46646833,SL
8,20,6,8.39752,-10.57659833,SL
7,30,6,8.398323333,-10.58885167,SL
8,15,10,8.399693333,-9.452716667,GN
7,20,6,8.400633333,-10.567085,SL
8,15,10,8.401401667,-9.508483333,GN
3,5,6,8.401456667,-10.626655,SL
7,30,10,8.40152,-10.45460833,SL
8,10,10,8.402208333,-9.501456667,GN
8,15,3,8.404865,-10.49338333,SL
8,20,3,8.405636667,-10.503,SL
11,50,3,8.405755,-10.53387333,SL
11,30,10,8.406293333,-9.639913333,LR
11,15,10,8.408081667,-9.560498333,GN
1,40,10,8.40825,-9.560678333,GN
3,10,10,8.408681667,-10.56153667,SL
3,45,10,8.408891667,-9.608278333,LR
7,30,10,8.409691667,-10.458025,SL
8,20,6,8.409805,-10.64269333,SL
3,30,6,8.410883333,-10.47957,SL
11,30,3,8.411655,-10.51198167,SL
8,35,6,8.412373333,-10.607005,SL
8,5,10,8.41256,-10.616325,SL
8,15,6,8.412891667,-10.44995,SL
3,25,10,8.413596667,-9.490911667,GN
8,60,3,8.414041667,-10.48115,SL
3,30,10,8.416135,-9.539271667,GN
8,20,3,8.416298333,-10.48781167,SL
8,90,3,8.416848333,-10.520905,SL
11,20,3,8.417748333,-10.49777,SL
7,30,10,8.417761667,-10.44361167,SL
8,30,6,8.417796667,-10.542695,SL
8,30,6,8.41866,-10.58420667,SL
3,15,6,8.41994,-10.63561667,SL
11,20,3,8.420103333,-10.51778,SL
3,10,10,8.420203333,-9.398155,GN
8,8,10,8.420251667,-9.596488333,LR
7,3,6,8.420646667,-10.62373,SL
3,10,10,8.420646667,-10.56759833,SL
8,60,10,8.422096667,-10.43606167,SL
8,30,6,8.422203333,-10.59786333,SL
8,120,10,8.422266667,-10.60787333,SL
3,3,10,8.423468333,-10.49684333,SL
7,30,6,8.42488,-10.44977333,SL
8,10,3,8.425113333,-10.48566333,SL
8,15,10,8.425403333,-10.48578,SL
5,30,3,8.425548333,-10.47368,SL
8,40,10,8.425993333,-10.4746,SL
