,lat,lon,tags_bed_count,tags_doctors_num,tags_nurses_num,tags_electricity,tags_operator,tags_water_source,tags_opening_hours,Country
314,8.3582029,-10.2048605,,,,,,,Mo-Fr 08:00-17:00,SL
315,8.3581942,-10.2056551,,,,,,,Mo-Fr 08:00-17:00,SL
316,8.3588311,-10.2068353,,,,,,,24/7,SL
317,8.3659642,-10.2087665,,,,,,,24/7,SL
318,8.3629695,-10.2126546,,,,,,,sunrise-sunset,SL
319,8.3606144,-10.2119851,,,,,,,Mo-Fr 08:00-17:00,SL
320,8.3606901,-10.2112463,,,,,,,Mo-Fr 08:00-17:00,SL
321,8.3626312,-10.2091742,,,,,,,Mo-Fr 08:00-17:00,SL
322,8.3643008,-10.2088063,,,,,,,sunrise-sunset,SL
323,8.3668983,-10.2044964,,,,,,,Mo-Fr 08:00-17:00,SL
