,lat,lon,tags_bed_count,tags_doctors_num,tags_nurses_num,tags_electricity,tags_operator,tags_water_source,tags_opening_hours,Country
127,8.38466,-10.4095071,4,,4,none,Ministry of Health and Sanitation,piped,08:00-17:00,SL
128,8.2755351,-10.5739394,0,0,7,generator,Ministry of Health and Sanitation,piped,08:00-17:00,SL
129,8.279273,-10.573907,0,0,0,none,,pub_tap,24/7,SL
130,8.2795449,-10.5739447,00,00,00,generator,,pub_tap,24/7,SL
131,8.2106812,-10.3166533,5,,2,none,government,protected_well,Mo-Fr 08:00-17:00,SL
132,8.3344641,-10.4926619,4,0,2,none,Ministry of Health and Sanitation,pub_tap,Mo-Fr 08:00-17:00,SL
133,8.2754704,-10.5736874,,1,0,generator,Ministry of Health and Sanitation,piped,08:00-17:00,SL
134,8.2797464,-10.5722763,00,00,01,generator,,pub_tap,24/7,SL
135,8.4615605,-10.3392235,15,,5,none,Ministry of Health and Sanitation,piped,24/7,SL
136,8.278029,-10.5702622,0,0,0,generator,,pub_tap,Mo-Fr 08:00-17:00,SL
137,8.3845849,-10.4135486,00,0,0,generator,,piped,24/7,SL
138,8.4617322,-10.3391157,15,2,2,solar,government,protected_well,,SL
139,8.2756336,-10.37229,10,0,7,solar,Ministry of Health and Sanitation,piped,08:00-17:00,SL
140,8.2040464,-10.4835534,3,0,2,none,government,protected_well,24/7,SL
141,8.2010932,-10.6475803,3,,2,solar,Ministry of Health and Sanitation,piped,Mo-Fr 08:00-17:00,SL
142,8.2554499,-10.4878986,8,,1,generator,Ministry of Health and Sanitation,cart,08:00-17:00,SL
143,8.2522752,-10.4183114,10,0,1,none,District Health Management Team,,24/7,SL
144,8.1764147,-10.5636871,4,,,none,District Health Management Team,pub_tap,08:00-17:00,SL
145,8.2040464,-10.4836392,4,,2,none,Ministry of Health and Sanitation,pub_tap,Mo-Sa 08:00-17:00,SL
146,8.2781498,-10.5716693,00,00,00,generator,,pub_tap,Mo-Fr,SL
147,8.2209516,-10.5856276,2,,1,none,Ministry of Health and Sanitation,pub_tap,08:00-17:00,SL
148,8.2467645,-10.5164373,1,,1,none,Ministry of Health and Sanitation,pub_tap,08:00-17:00,SL
149,8.4729772,-10.3857386,3,1,1,solar,combination,unprotected_well,Mo-Fr 08:00-17:00,SL
150,8.2779481,-10.5694807,0,0,0,generator,private,pub_tap,Mo-Fr 08:00-17:00,SL
151,8.1998838,-10.4363573,6,0,2,none,Ministry of Health and Sanitation,pub_tap,,SL
152,8.4613476,-10.3257987,8,,1,none,government,protected_well,08:00-17:00,SL
153,8.4617322,-10.3390797,4,,1,solar,government,protected_well,08:00-17:00,SL
154,8.2135291,-10.3175783,6,0,01,none,combination,pub_tap,24/7,SL
155,8.2956994,-10.4654431,12,,1,generator,Ministry of Health and Sanitation,pub_tap,08:00-17:00,SL
156,8.4613571,-10.3257966,17,088796717,3,generator,private,protected_well,08:00-17:00,SL
157,8.1987396,-10.6939587,3,0,2,none,Ministry of Health and Sanitation,,08:00-17:00,SL
158,8.2369322,-10.717485,9,0,2,none,Ministry of Health and Sanitation,protected_spring,Mo-Fr 08:00-17:00,SL
159,8.3204989,-10.5990386,2,,1,solar,Ministry of Health and Sanitation,pub_tap,08:00-17:00,SL
160,8.1696924,-10.7515597,3,2,3,none,Ministry of Health and Sanitation,protected_spring,Mo-Fr 08:00-17:00,SL
161,8.1709681,-10.7515772,3,1,2,generator,government,pub_tap,24/7,SL
162,8.274041,-10.6556332,,,,none,,pub_tap,,SL
163,8.1572668,-10.7117558,3,,1,solar,Ministry of Health and Sanitation,piped,08:00-17:00,SL
164,9.9115003,-11.4433456,5,0,1,none,government,,24/7,SL
165,8.8446089,-10.7756138,5,0,10,none,government,pub_tap,24/7,SL
166,9.0168841,-10.5969014,2,0,1,none,Ministry of Health and Sanitation,piped,08:00-17:00,SL
167,9.0860469,-12.9739952,3,0,1,solar,government,protected_well,24/7,SL
168,9.5453772,-12.6276469,3,0,2,none,Ministry of Health and Sanitation,unprotected_spring,24/7,SL
169,8.7976534,-10.5672754,,,,,Ministry of Health and Sanitation,,,SL
170,9.3673576,-10.7399718,0,0,2,none,Ministry of Health and Sanitation,protected_well,24/7,SL
171,8.6482322,-10.5152893,3,0,1,none,combination,unprotected_spring,24/7,SL
172,9.367127,-10.7398438,3,0,4,none,government,pub_tap,24/7,SL
173,8.680495,-10.5526485,3,1,1,none,government,protected_spring,24/7,SL
174,8.8979885,-10.6807086,1,0,2,solar,combination,surface_water,24/7,SL
175,9.6729156,-12.2258155,7,1,2,solar,government,pub_tap,24/7,SL
176,9.107619,-12.9135403,3,0,2,none,Ministry of Health and Sanitation,unprotected_spring,24/7,SL
177,9.1748789,-12.9516792,4,0,4,generator,Ministry of Health and Sanitation,protected_well,24/7,SL
178,8.5267376,-10.7097588,7,0,2,none,Ministry of Health and Sanitation,piped,24/7,SL
179,9.8012147,-11.6579781,3,0,1,generator,Ministry of Health and Sanitation,,24/7,SL
180,9.0585486,-13.2183072,3,0,2,solar,government,unprotected_well,08:00-17:00,SL
181,8.4248712,-10.7859135,2,0,2,none,government,protected_spring,Mo-Fr 08:00-17:00,SL
182,9.2251218,-12.8348958,4,0,2,none,Ministry of Health and Sanitation,protected_well,24/7,SL
183,9.711456,-11.8183439,2,0,2,solar,government,pub_tap,24/7,SL
184,9.005144,-13.0750513,4,0,2,none,,protected_spring,08:00-17:00,SL
185,8.9598849,-10.6538759,1,0,1,solar,Ministry of Health and Sanitation,protected_well,08:00-17:00,SL
186,8.6896391,-10.5097961,2,0,1,solar,government,protected_well,Mo-Fr 08:00-17:00,SL
187,8.3121335,-10.8202136,2,1,1,solar,government,,Mo-Fr 08:00-17:00,SL
188,8.414969,-10.7210577,6,0,2,none,,protected_well,Mo-Fr 08:00-17:00,SL
189,8.4030395,-10.8409846,4,0,3,none,government,protected_well,Mo-Fr 08:00-17:00,SL
190,8.3921805,-10.7074524,4,1,1,none,District Health Management Team,protected_well,08:00-17:00,SL
191,9.4581951,-12.6394272,4,0,2,none,Ministry of Health and Sanitation,pub_tap,24/7,SL
192,9.2779834,-12.9407358,3,0,1,solar,government,protected_well,24/7,SL
193,8.5015711,-10.6802834,4,,1,solar,Ministry of Health and Sanitation,pub_tap,24/7,SL
194,8.7653963,-10.6309885,3,0,2,none,government,unprotected_well,Mo-Fr 08:00-17:00,SL
195,9.0751876,-13.0353856,4,0,3,solar,,protected_well,24/7,SL
196,8.854661,-10.7665845,20,,7,solar,Ministry of Health and Sanitation,pub_tap,24/7,SL
197,9.9111928,-11.44328,6,0,2,none,,protected_well,24/7,SL
198,8.2414131,-10.7909882,3,0,2,none,Ministry of Health and Sanitation,pub_tap,Mo-Fr 08:00-17:00,SL
199,9.3484602,-12.7378859,3,,2,generator,Ministry of Health and Sanitation,protected_spring,24/7,SL
200,7.5239157,-11.0996461,2,0,2,solar,Ministry of Health and Sanitation,tubewell,,SL
201,9.9736902,-11.4871287,4,,2,none,government,protected_well,24/7,SL
202,7.5246338,-10.9968122,1,,2,solar,Ministry of Health and Sanitation,protected_well,Mo-Sa,SL
203,9.2170097,-12.9192889,6,0,4,none,Ministry of Health and Sanitation,protected_well,24/7,SL
204,8.3577059,-10.8383667,0,0,2,solar,government,protected_spring,Mo-Fr 08:00-17:00,SL
205,9.4622166,-10.9204316,4,0,1,solar,Ministry of Health and Sanitation,unprotected_spring,24/7,SL
206,9.1141132,-12.9235908,2,0,8,none,Ministry of Health and Sanitation,piped,24/7,SL
207,8.7276479,-10.5056763,1,0,1,solar,government,protected_well,24/7,SL
208,9.3448938,-10.8698753,2,0,1,solar,Ministry of Health and Sanitation,Hand pump in the Community.,,SL
209,8.4234351,-10.6562419,3,1,1,none,government,,08:00-17:00,SL
210,8.4357015,-10.8663884,18,1,13,solar,government,,24/7,SL
211,9.8582686,-11.5726167,02,0,01,none,Ministry of Health and Sanitation,,24/7,SL
212,9.1038129,-12.9499197,1,0,2,solar,government,protected_well,24/7,SL
213,8.6171422,-10.7208967,4,1,4,solar,government,piped,Mo-Fr,SL
214,9.103421,-12.9107165,2,1,2,solar,Ministry of Health and Sanitation,protected_well,24/7,SL
